ID;AÑO;NT1_1;NT1_2;NT1_3;NT1_4;NT2_1;NT2_2;NT2_3;NT2_4;NT2_5;NT3;NT3_1;NT3_2;NT3_3;NT4_1;NT4_2;NT4_3;NT5_1;NT5_2;NT5_3;NT5_4;NT5_5;NT5_6;NT5_7;NT5_8;NT5_9;NT5_10;NT5_11;NT5_12;EDAD;SEXO;GRUPO_DE_EDAD;ZONA;PONDERA
199;2014;2;1;1;1;2;2;1;2;1;1;1;2;8;2;17;15;1;2;3;4;6;8;9;10;12;14; ; ;28;1;3;1;1484.53991849579
1;2014;2;1;1;2;2;2;1;2;1;1;1;2;8;4;2;1;2;3;4;5;7;9;10;11;14;15; ; ;26;1;3;1;237.865864135882
5;2014;2;1;1;2;2;2;1;2;1;1;1;8;4;1;17;2;3;4;6;8;10;11;12;14;15; ; ; ;28;1;3;1;237.865864135882
7;2014;1;1;1;1;2;2;1;1;1;1;1;8;4;2;1; ;2;4;5;6;7;8;9;10;11;12;14; ;25;1;3;1;471.06769172008
9;2014;1;2;1;1;1;2;1;1;2;1;1;4;8;2;1;6;3;4;5;6;7;8;10;12;14;15; ; ;27;1;3;1;471.06769172008
11;2014;1;1;1;1;1;2;1;1;2;1;1;8;4;1;3; ;1;2;3;4;7;9;10;11;13;14;15; ;19;1;1;1;350.305190742688
16;2014;1;1;1;2;1;2;1;1;1;1;1;8;4;18;1;6;1;2;3;4;5;7;8;10;11;13;14; ;20;1;2;1;744.479114859636
17;2014;1;2;1;2;2;2;1;1;2;1;1;2;4;2; ; ;2;3;4;10;11;13;14; ; ; ; ; ;23;1;2;1;744.479114859636
20;2014;1;1;1;1;2;2;1;1;1;1;1;2;8;9;2;8;2;3;4;5;6;7;8;10;13;14; ; ;24;1;2;1;744.479114859636
23;2014;2;1;1;1;2;2;1;2;1;1;1;2;8;5;2; ;1;2;3;4;5;7;8;10;12;13;14; ;29;1;3;1;792.886213786273
28;2014;1;1;1;1;2;2;1;1;1;1;1;2;4;1;2;6;4;5;9;14; ; ; ; ; ; ; ; ;26;1;3;1;1180.00124757604
32;2014;1;2;1;2;2;2;1;2;2;1;1;4;8;2;3;6;1;3;7;8;9;14; ; ; ; ; ; ;16;1;1;1;901.966908447709
35;2014;2;1;1;1;1;2;1;2;1;1;1;4; ;1;6;14;3;5;9;10;15; ; ; ; ; ; ; ;17;1;1;1;901.966908447709
38;2014;1;2;1;2;1;1;2;1;2;1;2; ; ;1; ; ;10; ; ; ; ; ; ; ; ; ; ; ;29;1;3;1;578.340532408811
40;2014;1;1;1;2;1;1;2;1;2;1;1; ; ;1;2;4;3;4;5;7;8;10;11;14;15; ; ; ;22;1;2;1;603.368694396045
43;2014;1;1;1;1;1;1;2;1;1;1;1; ; ;1;2;4;1;2;3;4;5;6;7;8;10;11;12;13;25;1;3;1;1016.7599682671
46;2014;1;2;1;1;2;2;1;1;2;1;8; ;2;6;2;4;3;4;7;9;10; ; ; ; ; ; ; ;18;1;1;1;314.447179091862
48;2014;1;1;1;1;2;2;1;1;1;1;1;8; ;1;5;6;4;5;10; ; ; ; ; ; ; ; ; ;23;1;2;1;554.709928718945
51;2014;1;1;1;2;2;2;2;1;1;1;1;6;4;1;5;6;4;5;9;10;11; ; ; ; ; ; ; ;20;1;2;1;1513.28761255782
